frame_tooltip,,,x_tooltip,y_tooltip,
382.0,Vitrector_tooltip,0,1014,441,0.9172483
386.0,Vitrector_tooltip,0,1015,441,0.9778631
388.0,Vitrector_tooltip,0,929,447,0.12804964
388.0,Vitrector_tooltip,0,1014,440,0.88941556
388.0,Vitrector_tooltip,0,928,448,0.12838577
388.0,Vitrector_tooltip,0,1018,441,0.9095423
390.0,Vitrector_tooltip,0,1018,441,0.85206676
394.0,Vitrector_tooltip,0,1020,442,0.86378276
396.0,Vitrector_tooltip,0,924,449,0.1167851
396.0,Vitrector_tooltip,0,1021,442,0.8552458
398.0,Vitrector_tooltip,0,923,449,0.10539232
398.0,Vitrector_tooltip,0,1021,443,0.8273053
398.0,Vitrector_tooltip,0,1021,444,0.56860256
400.0,Vitrector_tooltip,0,1020,444,0.8213908
402.0,Vitrector_tooltip,0,1016,442,0.88351583
406.0,Vitrector_tooltip,0,1012,441,0.92891717
408.0,Vitrector_tooltip,0,1010,440,0.90752405
408.0,Vitrector_tooltip,0,998,439,0.9704907
410.0,Vitrector_tooltip,0,988,439,0.98978883
412.0,Vitrector_tooltip,0,986,439,0.9857539
414.0,Vitrector_tooltip,0,981,439,0.9709844
418.0,Vitrector_tooltip,0,979,438,0.9691459
420.0,Vitrector_tooltip,0,975,437,0.91660875
422.0,Vitrector_tooltip,0,974,436,0.8544205
422.0,Vitrector_tooltip,0,973,436,0.6004331
426.0,Vitrector_tooltip,0,967,426,0.14617465
426.0,Vitrector_tooltip,0,979,436,0.27333346
426.0,Vitrector_tooltip,0,965,424,0.7965134
430.0,Vitrector_tooltip,0,963,423,0.86134666
432.0,Vitrector_tooltip,0,962,423,0.912371
434.0,Vitrector_tooltip,0,961,418,0.8515709
434.0,Vitrector_tooltip,0,957,415,0.6123926
438.0,Vitrector_tooltip,0,959,407,0.7418718
438.0,Vitrector_tooltip,0,960,403,0.8647685
442.0,Vitrector_tooltip,0,960,397,0.22444446
444.0,Vitrector_tooltip,0,964,391,0.5241123
444.0,Vitrector_tooltip,0,965,387,0.6154919
446.0,Vitrector_tooltip,0,963,385,0.6445295
450.0,Vitrector_tooltip,0,965,380,0.15805557
454.0,Vitrector_tooltip,0,968,370,0.38702106
456.0,Vitrector_tooltip,0,966,370,0.62318534
456.0,Vitrector_tooltip,0,966,367,0.74359185
458.0,Vitrector_tooltip,0,967,365,0.7306463
460.0,Vitrector_tooltip,0,979,353,0.16707093
460.0,Vitrector_tooltip,0,967,364,0.27009118
462.0,Vitrector_tooltip,0,978,354,0.417549
464.0,Vitrector_tooltip,0,979,351,0.5897735
466.0,Vitrector_tooltip,0,979,350,0.83616686
470.0,Vitrector_tooltip,0,980,347,0.7941103
472.0,Vitrector_tooltip,0,980,346,0.72543764
472.0,Vitrector_tooltip,0,978,345,0.55617183
474.0,Vitrector_tooltip,0,977,345,0.481748
476.0,Vitrector_tooltip,0,978,345,0.37212813
480.0,Vitrector_tooltip,0,976,345,0.30560437
482.0,Vitrector_tooltip,0,974,345,0.31624204
482.0,Vitrector_tooltip,0,973,344,0.32117346
484.0,Vitrector_tooltip,0,978,339,0.304719
488.0,Vitrector_tooltip,0,978,339,0.41668534
490.0,Vitrector_tooltip,0,972,337,0.42910072
492.0,Vitrector_tooltip,0,971,333,0.7458219
492.0,Vitrector_tooltip,0,969,332,0.8299857
496.0,Vitrector_tooltip,0,968,331,0.7611547
498.0,Vitrector_tooltip,0,964,331,0.8590561
498.0,Vitrector_tooltip,0,961,331,0.88995224
500.0,Vitrector_tooltip,0,957,332,0.8871663
502.0,Vitrector_tooltip,0,954,333,0.8896019
504.0,Vitrector_tooltip,0,950,331,0.6942473
508.0,Vitrector_tooltip,0,941,330,0.54866534
508.0,Vitrector_tooltip,0,939,329,0.6481256
512.0,Vitrector_tooltip,0,938,328,0.5491812
514.0,Vitrector_tooltip,0,939,324,0.22477145
514.0,Vitrector_tooltip,0,938,321,0.45926872
516.0,Vitrector_tooltip,0,938,319,0.63070184
518.0,Vitrector_tooltip,0,938,318,0.67663085
522.0,Vitrector_tooltip,0,935,314,0.6618597
524.0,Vitrector_tooltip,0,935,312,0.34141576
526.0,Vitrector_tooltip,0,935,309,0.2768329
526.0,Vitrector_tooltip,0,934,308,0.14791149
528.0,Vitrector_tooltip,0,936,307,0.2810062
530.0,Vitrector_tooltip,0,938,304,0.39491424
532.0,Vitrector_tooltip,0,935,302,0.67213684
534.0,Vitrector_tooltip,0,933,299,0.5955391
536.0,Vitrector_tooltip,0,933,298,0.39597818
540.0,Vitrector_tooltip,0,931,295,0.1532059
544.0,Vitrector_tooltip,0,938,290,0.11231577
544.0,Vitrector_tooltip,0,942,286,0.17574723
546.0,Vitrector_tooltip,0,940,283,0.2577762
548.0,Vitrector_tooltip,0,940,282,0.16272143
550.0,Vitrector_tooltip,0,946,280,0.18261497
554.0,Vitrector_tooltip,0,947,279,0.18456885
556.0,Vitrector_tooltip,0,947,278,0.27616143
556.0,Vitrector_tooltip,0,949,278,0.29714468
558.0,Vitrector_tooltip,0,951,278,0.5033025
560.0,Vitrector_tooltip,0,951,278,0.50185305
564.0,Vitrector_tooltip,0,951,278,0.47843736
566.0,Vitrector_tooltip,0,955,279,0.57678217
568.0,Vitrector_tooltip,0,961,279,0.6572554
570.0,Vitrector_tooltip,0,966,280,0.36174214
572.0,Vitrector_tooltip,0,979,287,0.29420596
574.0,Vitrector_tooltip,0,986,288,0.115370706
588.0,Vitrector_tooltip,0,1011,348,0.227004
592.0,Vitrector_tooltip,0,1029,365,0.7560339
592.0,Vitrector_tooltip,0,1019,369,0.118230365
594.0,Vitrector_tooltip,0,1039,388,0.44720215
598.0,Vitrector_tooltip,0,1037,395,0.3369035
600.0,Vitrector_tooltip,0,1040,402,0.91175836
602.0,Vitrector_tooltip,0,1040,406,0.88211614
602.0,Vitrector_tooltip,0,1040,409,0.76079184
604.0,Vitrector_tooltip,0,1039,412,0.53607273
608.0,Vitrector_tooltip,0,1043,417,0.9237076
610.0,Vitrector_tooltip,0,1045,422,0.9615868
612.0,Vitrector_tooltip,0,1048,425,0.888039
612.0,Vitrector_tooltip,0,1048,424,0.96308875
614.0,Vitrector_tooltip,0,1047,422,0.9653448
618.0,Vitrector_tooltip,0,1049,423,0.962993
620.0,Vitrector_tooltip,0,1048,424,0.93755263
622.0,Vitrector_tooltip,0,1050,430,0.8347972
624.0,Vitrector_tooltip,0,1050,435,0.8636669
624.0,Vitrector_tooltip,0,1051,435,0.8976875
626.0,Vitrector_tooltip,0,1049,437,0.9159276
628.0,Vitrector_tooltip,0,1052,440,0.8459915
632.0,Vitrector_tooltip,0,1061,445,0.21514219
634.0,Vitrector_tooltip,0,1061,445,0.1727198
634.0,Vitrector_tooltip,0,1060,445,0.17511794
638.0,Vitrector_tooltip,0,1062,445,0.17015348
640.0,Vitrector_tooltip,0,1063,445,0.17002751
642.0,Vitrector_tooltip,0,1062,444,0.23250908
644.0,Vitrector_tooltip,0,1063,445,0.27214178
646.0,Vitrector_tooltip,0,1071,442,0.28180903
648.0,Vitrector_tooltip,0,1073,441,0.44317317
648.0,Vitrector_tooltip,0,1075,440,0.5030115
650.0,Vitrector_tooltip,0,1080,440,0.8475225
654.0,Vitrector_tooltip,0,1087,441,0.86783224
656.0,Vitrector_tooltip,0,1099,439,0.4719229
656.0,Vitrector_tooltip,0,1100,439,0.60971797
658.0,Vitrector_tooltip,0,1100,439,0.652638
662.0,Vitrector_tooltip,0,1100,440,0.6966616
662.0,Vitrector_tooltip,0,1102,441,0.614766
664.0,Vitrector_tooltip,0,1104,442,0.44441462
666.0,Vitrector_tooltip,0,1106,448,0.8759568
668.0,Vitrector_tooltip,0,1105,452,0.96880776
672.0,Vitrector_tooltip,0,1106,456,0.9647991
674.0,Vitrector_tooltip,0,1104,459,0.9067902
676.0,Vitrector_tooltip,0,1103,465,0.87403196
678.0,Vitrector_tooltip,0,1093,471,0.9070471
678.0,Vitrector_tooltip,0,1090,475,0.91018146
682.0,Vitrector_tooltip,0,1089,480,0.8838468
684.0,Vitrector_tooltip,0,1088,482,0.97499096
686.0,Vitrector_tooltip,0,1088,483,0.98603755
686.0,Vitrector_tooltip,0,1087,484,0.9909183
688.0,Vitrector_tooltip,0,1085,484,0.99232703
692.0,Vitrector_tooltip,0,1080,485,0.9842481
694.0,Vitrector_tooltip,0,1076,487,0.9802296
694.0,Vitrector_tooltip,0,1073,491,0.9644373
698.0,Vitrector_tooltip,0,1072,492,0.8940308
698.0,Vitrector_tooltip,0,1072,495,0.7213587
700.0,Vitrector_tooltip,0,1072,496,0.35828567
702.0,Vitrector_tooltip,0,1069,500,0.5187368
706.0,Vitrector_tooltip,0,1061,502,0.96587336
708.0,Vitrector_tooltip,0,1061,505,0.9851657
708.0,Vitrector_tooltip,0,1059,507,0.9935709
710.0,Vitrector_tooltip,0,1056,508,0.9909444
712.0,Vitrector_tooltip,0,1055,508,0.99025047
714.0,Vitrector_tooltip,0,1054,507,0.98399353
718.0,Vitrector_tooltip,0,1050,504,0.9879923
720.0,Vitrector_tooltip,0,1047,500,0.97162884
722.0,Vitrector_tooltip,0,1048,493,0.90043545
722.0,Vitrector_tooltip,0,1048,489,0.98315734
724.0,Vitrector_tooltip,0,1046,486,0.98363423
